id,date,ticker,open_price,high_price,low_price,close_price,volume,daily_return_pct,price_range,moving_avg_7,moving_avg_30,moving_avg_50,fetched_at
14880,2026-04-24,JIOFIN,252.0,253.2,244.1,245.73,32701720,-1.1783,9.1,241.42,237.84,245.38,2026-04-25 22:37:17
14879,2026-04-23,JIOFIN,240.0,251.7,238.54,248.66,74432270,4.2556,13.16,240.98,237.39,245.83,2026-04-25 22:37:17
14878,2026-04-22,JIOFIN,234.7,241.15,234.55,238.51,40251820,1.6017,6.6,239.41,237.08,246.25,2026-04-25 22:37:17
14877,2026-04-21,JIOFIN,237.27,237.6,234.1,234.75,46344610,-1.012,3.5,240.08,237.23,246.84,2026-04-25 22:37:17
14876,2026-04-20,JIOFIN,242.0,242.01,234.5,237.15,38415130,-2.7516,7.51,240.67,237.45,247.43,2026-04-25 22:37:17
14875,2026-04-17,JIOFIN,242.02,245.5,240.64,243.86,51452520,1.0735,4.86,242.05,237.84,247.57,2026-04-25 22:37:17
14874,2026-04-16,JIOFIN,244.5,245.0,238.02,241.27,26180400,-0.5728,6.98,240.83,238.23,247.78,2026-04-25 22:37:17
14873,2026-04-15,JIOFIN,242.5,244.25,241.51,242.66,20476590,2.0953,2.74,239.98,238.72,248.04,2026-04-25 22:37:17
14872,2026-04-13,JIOFIN,237.0,238.31,235.26,237.68,15386120,-2.2697,3.05,238.1,239.2,248.29,2026-04-25 22:37:17
14871,2026-04-10,JIOFIN,240.7,243.8,240.0,243.2,12039950,1.8255,3.8,237.28,239.79,248.66,2026-04-25 22:37:17
14870,2026-04-09,JIOFIN,246.0,246.0,236.7,238.84,21124620,-3.2488,9.3,234.55,240.27,248.85,2026-04-25 22:37:17
14869,2026-04-08,JIOFIN,245.1,248.1,242.15,246.86,19911970,4.8995,5.95,233.65,240.93,249.33,2026-04-25 22:37:17
14868,2026-04-07,JIOFIN,233.1,236.0,231.77,235.33,13783440,0.0085,4.23,232.29,241.32,249.66,2026-04-25 22:37:17
14867,2026-04-06,JIOFIN,230.8,236.0,226.1,235.31,16036370,2.5405,9.9,231.92,242.28,250.26,2026-04-25 22:37:17
14866,2026-04-02,JIOFIN,227.85,230.14,223.55,229.48,18541630,-1.0564,6.59,230.6,243.18,251.07,2026-04-25 22:37:17
14865,2026-04-01,JIOFIN,233.04,233.04,228.0,231.93,21603790,3.494,5.04,232.0,244.28,252.05,2026-04-25 22:37:17
14864,2026-03-30,JIOFIN,228.9,231.5,223.3,224.1,25943390,-3.6336,8.2,233.08,245.35,253.16,2026-04-25 22:37:17
14863,2026-03-27,JIOFIN,236.0,236.5,231.55,232.55,19784230,-2.0223,4.95,236.52,246.8,254.37,2026-04-25 22:37:17
14862,2026-03-25,JIOFIN,235.0,241.0,234.75,237.35,15684540,1.9983,6.25,237.24,248.06,255.48,2026-04-25 22:37:17
14861,2026-03-24,JIOFIN,232.85,234.0,227.75,232.7,16119860,2.9191,6.25,236.81,249.15,256.48,2026-04-25 22:37:17
14860,2026-03-23,JIOFIN,236.2,236.3,225.4,226.1,21172060,-5.5161,10.9,237.18,250.37,257.69,2026-04-25 22:37:17
14859,2026-03-20,JIOFIN,242.0,244.25,238.6,239.3,15021100,-0.0626,5.65,239.48,251.77,259.24,2026-04-25 22:37:17
14858,2026-03-19,JIOFIN,242.95,244.85,237.6,239.45,15046010,-3.5254,7.25,239.39,252.79,260.43,2026-04-25 22:37:17
14857,2026-03-18,JIOFIN,238.9,250.5,237.95,248.2,19579980,4.4613,12.55,238.9,253.74,261.65,2026-04-25 22:37:17
14856,2026-03-17,JIOFIN,235.0,238.7,234.35,237.6,10638090,1.3868,4.35,236.62,254.27,262.72,2026-04-25 22:37:17
14855,2026-03-16,JIOFIN,235.0,238.0,230.7,234.35,14936660,-0.3826,7.3,236.87,254.48,263.88,2026-04-25 22:37:17
14854,2026-03-13,JIOFIN,240.0,240.6,234.25,235.25,13328240,-2.8695,6.35,238.12,255.16,265.09,2026-04-25 22:37:17
14853,2026-03-12,JIOFIN,237.4,245.4,234.0,242.2,18865160,1.4663,11.4,238.99,255.8,266.24,2026-04-25 22:37:17
14852,2026-03-11,JIOFIN,237.9,242.8,237.5,238.7,16495790,1.1441,5.3,239.96,256.23,267.27,2026-04-25 22:37:17
14851,2026-03-10,JIOFIN,236.95,237.55,231.35,236.0,23126140,1.6146,6.2,242.34,256.81,268.44,2026-04-25 22:37:17
14850,2026-03-09,JIOFIN,233.95,233.95,226.3,232.25,19524750,-2.9664,7.65,245.22,257.37,269.69,2026-04-25 22:37:17
14849,2026-03-06,JIOFIN,242.2,243.45,238.9,239.35,12566460,-1.5426,4.55,248.75,258.38,271.02,2026-04-25 22:37:17
14848,2026-03-05,JIOFIN,243.5,244.25,237.75,243.1,13760060,0.746,6.5,251.02,259.18,272.21,2026-04-25 22:37:17
14847,2026-03-04,JIOFIN,245.0,245.4,239.8,241.3,13886010,-3.0924,5.6,253.12,259.93,273.29,2026-04-25 22:37:17
14846,2026-03-02,JIOFIN,246.55,252.35,243.55,249.0,18412890,-2.5059,8.8,255.59,261.07,274.31,2026-04-25 22:37:17
14845,2026-02-27,JIOFIN,257.0,259.2,254.65,255.4,13283240,-0.2928,4.55,256.96,262.06,275.19,2026-04-25 22:37:17
14844,2026-02-26,JIOFIN,257.5,258.85,255.35,256.15,8691253,-0.3114,3.5,258.21,263.12,275.99,2026-04-25 22:37:17
14843,2026-02-25,JIOFIN,257.05,259.45,255.65,256.95,8837176,0.666,3.8,259.09,264.07,276.86,2026-04-25 22:37:17
14842,2026-02-24,JIOFIN,257.2,257.2,253.2,255.25,10953960,-0.9891,4.0,259.89,265.11,277.73,2026-04-25 22:37:17
14841,2026-02-23,JIOFIN,260.0,260.4,256.15,257.8,9454337,-0.3094,4.25,261.13,266.18,278.6,2026-04-25 22:37:17
14840,2026-02-20,JIOFIN,258.1,260.75,257.55,258.6,11215170,0.0,3.2,262.52,267.37,279.26,2026-04-25 22:37:17
14839,2026-02-19,JIOFIN,264.1,265.55,257.35,258.6,8482281,-2.0825,8.2,264.19,268.86,279.95,2026-04-25 22:37:17
14838,2026-02-18,JIOFIN,263.0,264.5,261.75,264.1,9451007,0.6862,2.75,265.85,270.2,280.72,2026-04-25 22:37:17
14837,2026-02-17,JIOFIN,262.4,264.2,260.9,262.3,7407032,-0.0952,3.3,266.59,271.41,281.52,2026-04-25 22:37:17
14836,2026-02-16,JIOFIN,262.05,263.25,259.55,262.55,13826570,-0.5304,3.7,267.41,272.72,282.31,2026-04-25 22:37:17
14835,2026-02-13,JIOFIN,265.0,267.25,262.85,263.95,12222310,-1.3455,4.4,268.47,273.82,283.08,2026-04-25 22:37:17
14834,2026-02-12,JIOFIN,270.0,270.1,266.7,267.55,8681589,-1.0174,3.4,269.05,274.86,283.9,2026-04-25 22:37:17
14833,2026-02-11,JIOFIN,271.0,271.6,268.3,270.3,6544008,0.037,3.3,268.53,275.69,284.65,2026-04-25 22:37:17
14832,2026-02-10,JIOFIN,270.0,274.35,269.0,270.2,12632670,0.3528,5.35,264.79,276.48,285.36,2026-04-25 22:37:17
14831,2026-02-09,JIOFIN,270.55,271.4,268.75,269.25,8211716,0.4289,2.65,262.54,277.37,286.09,2026-04-25 22:37:17
14830,2026-02-06,JIOFIN,269.95,270.4,266.5,268.1,8939766,-0.6853,3.9,260.44,278.36,286.86,2026-04-25 22:37:17
14829,2026-02-05,JIOFIN,268.1,271.65,267.5,269.95,15768740,0.7276,4.15,258.59,279.38,287.52,2026-04-25 22:37:17
14828,2026-02-04,JIOFIN,265.0,269.9,263.95,268.0,14556920,1.5536,5.95,256.61,280.34,288.12,2026-04-25 22:37:17
14827,2026-02-03,JIOFIN,260.05,267.0,256.95,263.9,40223290,8.1114,10.05,254.45,281.3,288.83,2026-04-25 22:37:17
14826,2026-02-02,JIOFIN,242.4,245.3,237.0,244.1,17248810,-4.0864,8.3,254.26,282.25,289.72,2026-04-25 22:37:17
14825,2026-01-30,JIOFIN,253.0,257.6,249.55,254.5,13448700,0.0,8.05,257.0,283.89,290.92,2026-04-25 22:37:17
14824,2026-01-29,JIOFIN,255.8,256.85,252.45,254.5,12165350,-0.2743,4.4,258.57,285.24,291.95,2026-04-25 22:37:17
14823,2026-01-28,JIOFIN,257.85,258.4,253.0,255.2,19034680,-0.332,5.4,261.59,286.75,293.1,2026-04-25 22:37:17
14822,2026-01-27,JIOFIN,253.8,257.5,250.2,256.05,14773860,1.2455,7.3,264.96,288.27,294.3,2026-04-25 22:37:17
14821,2026-01-23,JIOFIN,264.0,266.25,252.25,252.9,14857600,-3.6938,14.0,269.39,289.68,295.39,2026-04-25 22:37:17
14820,2026-01-22,JIOFIN,267.0,268.15,259.75,262.6,12282960,-0.2469,8.4,273.91,290.94,296.52,2026-04-25 22:37:17
14819,2026-01-21,JIOFIN,265.3,269.2,262.5,263.25,19266170,-0.8475,6.7,277.58,291.96,297.37,2026-04-25 22:37:17
14818,2026-01-20,JIOFIN,275.1,276.45,263.2,265.5,18750730,-3.6822,13.25,281.01,293.1,298.14,2026-04-25 22:37:17
14817,2026-01-19,JIOFIN,279.4,281.65,274.1,275.65,13006400,-1.1298,7.55,285.01,294.37,298.82,2026-04-25 22:37:17
14816,2026-01-16,JIOFIN,287.0,291.0,277.15,278.8,18934860,-2.8571,13.85,288.99,295.26,299.27,2026-04-25 22:37:17
