month,avg_close,month_high,month_low,total_volume,total_return_pct
2026-04,239.45,253.2,223.55,468682950,9.7
2026-03,237.31,252.35,223.3,323891420,-12.38
2026-02,262.15,274.35,237.0,246631845,0.82
2026-01,277.97,306.0,249.55,264648976,-14.42
2025-12,297.68,308.15,288.75,159566034,-3.62
2025-11,305.46,316.85,293.5,172069911,-0.06
2025-10,307.79,315.8,293.05,200507196,4.65
2025-09,309.47,321.6,292.2,229939859,-6.02
2025-08,324.73,338.07,309.35,235604051,-5.2
2025-07,320.96,334.78,305.82,394398658,1.01
2025-06,297.46,331.38,282.06,408165285,13.45
2025-05,270.63,298.78,241.62,354752887,10.05
2025-04,257.25,262.89,248.71,152003120,0.68
